name,platform,accountId,type,ticker,quantity,averageCost,currency,costValueSEK,marketValueSEK,status,country,sector,masterclassRating33,buyPriority33,decisionScore34,decisionSignal34,portfolioWeightPct42,resultSEK42,resultPct42,dataCompleteness42,analysisConfidence42,futureLiveReady42,liveReady43,currentPrice43,changePct43,liveSource43,liveTimestamp43,marketWeight44,marketResultPct44,marketDataCoverage44,marketReportDate44,marketNextDividend44,marketBuyZone44,notes,wealthPortfolioValue50,wealthCapitalGoal50,wealthDividendGoal50,wealthMonthlyContribution50,wealthReturnAssumption50,wealthScore50,wealthCoachScore51,wealthCoachAction51,wealthCoachReason51,wealthCoachDataQuality51,wealthScorePortfolio51,platformVersion60,professionalScore60,professionalStatus60
Cibus,Avanza,avanza_isk_framtid,Aktie,,47,157.18,SEK,7387.46,6947,verified,Sverige,Fastigheter,70,70,71,Behåll,2.23,-440.46,-5.96,90,94,False,False,,,Ej ansluten,,2.23,-5.96,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,74,Kandidat att öka,Stark utdelningsprofil.,90.0,63,6.0,74,Kandidat att öka
Tele2,Avanza,avanza_isk_framtid,Aktie,,15,134.96,SEK,2024.4,2499,verified,Sverige,Telekom,71,70,72,Behåll,0.8,474.6,23.44,90,94,False,False,,,Ej ansluten,,0.8,23.44,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,74,Kandidat att öka,"God portföljpassform, stark utdelningsprofil.",90.0,63,6.0,74,Kandidat att öka
Telia,Avanza,avanza_isk_framtid,Aktie,,50,31.81,SEK,1590.5,2269,verified,Sverige,Telekom,70,68,71,Behåll,0.73,678.5,42.66,90,94,False,False,,,Ej ansluten,,0.73,42.66,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,74,Kandidat att öka,"God portföljpassform, stark utdelningsprofil.",90.0,63,6.0,74,Kandidat att öka
NP3 Pref,Avanza,avanza_isk_framtid,Aktie,,76,30.4,SEK,2310.4,2356,verified,Sverige,Fastigheter,70,70,71,Behåll,0.76,45.6,1.97,90,94,False,False,,,Ej ansluten,,0.76,1.97,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,74,Kandidat att öka,Stark utdelningsprofil.,90.0,63,6.0,74,Kandidat att öka
Diös,Avanza,avanza_isk_framtid,Aktie,,6,64.52,SEK,387.12,403,verified,Sverige,Fastigheter,70,70,71,Behåll,0.13,15.88,4.1,90,94,False,False,,,Ej ansluten,,0.13,4.1,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,74,Kandidat att öka,Stark utdelningsprofil.,90.0,63,6.0,74,Kandidat att öka
Bilia,Avanza,avanza_isk_framtid,Aktie,,33,128.21,SEK,4230.93,4693,verified,Sverige,Sällanköp,66,67,67,Behåll,1.51,462.07,10.92,90,94,False,False,,,Ej ansluten,,1.51,10.92,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,69,Behåll och följ,Balanserad lokal profil.,90.0,63,6.0,69,Behåll och följ
Hexagon,Avanza,avanza_isk_framtid,Aktie,,29,79.09,SEK,2293.61,2347,verified,Sverige,Teknik,75,75,76,Köp vid nedgång,0.75,53.39,2.33,90,94,False,False,,,Ej ansluten,,0.75,2.33,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,77,Kandidat att öka,"Hög kvalitet, god portföljpassform, god tillväxtprofil.",90.0,63,6.0,77,Kandidat att öka
Apotea,Avanza,avanza_isk_framtid,Aktie,,24,59.22,SEK,1421.28,1802,verified,Sverige,Hälsovård,76,74,77,Köp vid nedgång,0.58,380.72,26.79,90,94,False,False,,,Ej ansluten,,0.58,26.79,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,78,Kandidat att öka,"Hög kvalitet, god portföljpassform, god tillväxtprofil.",90.0,63,6.0,78,Kandidat att öka
Volvo,Avanza,avanza_isk_framtid,Aktie,,16,287.35,SEK,4597.6,5421,verified,Sverige,Industri,75,74,76,Köp vid nedgång,1.74,823.4,17.91,90,94,False,False,,,Ej ansluten,,1.74,17.91,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,78,Kandidat att öka,"Hög kvalitet, god portföljpassform, god tillväxtprofil.",90.0,63,6.0,78,Kandidat att öka
Octave Intelligence,Avanza,avanza_isk_framtid,Aktie,,2,223.08,SEK,446.16,329,verified,Ej satt,Ej satt,58,61,57,Avvakta,0.11,-117.16,-26.26,70,76,False,False,,,Ej ansluten,,0.11,-26.26,70,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,58,Behåll och följ,Balanserad lokal profil.,70.0,63,6.0,58,Behåll och följ
Cheffelo,Avanza,avanza_isk_framtid,Aktie,,22,90.97,SEK,2001.34,2882,verified,Ej satt,Ej satt,54,54,55,Avvakta,0.93,880.66,44.0,70,76,False,False,,,Ej ansluten,,0.93,44.0,70,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,56,Bevaka,Balanserad lokal profil.,70.0,63,6.0,56,Bevaka
Björn Borg,Avanza,avanza_isk_framtid,Aktie,,13,66.31,SEK,862.03,861,verified,Sverige,Sällanköp,68,69,68,Behåll,0.28,-1.03,-0.12,90,94,False,False,,,Ej ansluten,,0.28,-0.12,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,70,Behåll och följ,Balanserad lokal profil.,90.0,63,6.0,70,Behåll och följ
SSAB,Avanza,avanza_isk_framtid,Aktie,,26,58.68,SEK,1525.68,2512,verified,Ej satt,Ej satt,54,54,55,Avvakta,0.81,986.32,64.65,70,76,False,False,,,Ej ansluten,,0.81,64.65,70,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,56,Bevaka,Balanserad lokal profil.,70.0,63,6.0,56,Bevaka
RevolutionRace,Avanza,avanza_isk_framtid,Aktie,,29,59.12,SEK,1714.48,1772,verified,Sverige,Sällanköp,68,69,68,Behåll,0.57,57.52,3.35,90,94,False,False,,,Ej ansluten,,0.57,3.35,90,,,,Verifierad från Avanza-skärmbild med antal och GAV.,310970.32,7500000,480000,9000.0,7.0,,70,Behåll och följ,Balanserad lokal profil.,90.0,63,6.0,70,Behåll och följ
